,Mean,SD,Naive SE,Time-series SE,2.50%,25%,50%,75%,97.50%
att2PT[1],-0.005,0.067,0.001,0.005,-0.145,-0.047,-0.004,0.04,0.119
att2PT[2],0.002,0.069,0.001,0.005,-0.14,-0.042,0,0.047,0.138
att2PT[3],-0.009,0.068,0.001,0.005,-0.148,-0.051,-0.007,0.036,0.121
att2PT[4],0.004,0.066,0.001,0.005,-0.125,-0.04,0.004,0.045,0.14
att2PT[5],-0.003,0.063,0.001,0.004,-0.125,-0.046,-0.004,0.042,0.12
att2PT[6],0.003,0.068,0.001,0.006,-0.127,-0.039,0.002,0.046,0.136
att2PT[7],-0.01,0.069,0.001,0.005,-0.146,-0.054,-0.008,0.037,0.12
att2PT[8],0.01,0.067,0.001,0.005,-0.141,-0.028,0.011,0.053,0.132
att2PT[9],0.016,0.068,0.001,0.005,-0.108,-0.033,0.013,0.06,0.161
att2PT[10],0.001,0.066,0.001,0.005,-0.127,-0.043,-0.001,0.042,0.141
att2PT[11],0.008,0.075,0.001,0.006,-0.145,-0.037,0.007,0.052,0.169
att2PT[12],0.002,0.068,0.001,0.005,-0.136,-0.042,-0.001,0.045,0.136
att2PT[13],0.013,0.067,0.001,0.005,-0.12,-0.027,0.013,0.056,0.141
att2PT[14],0.002,0.067,0.001,0.005,-0.131,-0.039,0.001,0.044,0.132
att2PT[15],-0.012,0.071,0.001,0.006,-0.153,-0.054,-0.013,0.031,0.137
att2PT[16],-0.002,0.068,0.001,0.005,-0.142,-0.044,-0.001,0.04,0.133
att2PT[17],0,0.061,0.001,0.004,-0.122,-0.038,0.003,0.04,0.115
att2PT[18],-0.014,0.069,0.001,0.005,-0.154,-0.057,-0.012,0.029,0.126
att2PT[19],-0.007,0.063,0.001,0.004,-0.134,-0.049,-0.008,0.033,0.118
att2PT[20],-0.012,0.066,0.001,0.005,-0.136,-0.055,-0.012,0.029,0.12
att2PT[21],0.012,0.076,0.001,0.007,-0.14,-0.036,0.014,0.062,0.162
att2PT[22],-0.033,0.072,0.001,0.006,-0.205,-0.072,-0.028,0.013,0.089
att2PT[23],0.014,0.062,0.001,0.004,-0.11,-0.027,0.013,0.054,0.136
att2PT[24],0.03,0.069,0.001,0.005,-0.103,-0.014,0.025,0.073,0.172
att2PT[25],-0.009,0.07,0.001,0.005,-0.151,-0.053,-0.006,0.037,0.121
att2PT[26],-0.014,0.067,0.001,0.005,-0.155,-0.053,-0.012,0.028,0.111
att2PT[27],-0.011,0.068,0.001,0.005,-0.142,-0.057,-0.013,0.033,0.123
att2PT[28],0.008,0.067,0.001,0.005,-0.126,-0.035,0.008,0.054,0.139
att2PT[29],0.014,0.066,0.001,0.005,-0.117,-0.029,0.015,0.055,0.149
att2PT[30],0.006,0.065,0.001,0.005,-0.118,-0.037,0.006,0.049,0.139
def2PT[1],0.002,0.066,0.001,0.005,-0.128,-0.037,0.002,0.041,0.137
def2PT[2],-0.016,0.064,0.001,0.005,-0.145,-0.059,-0.015,0.027,0.103
def2PT[3],-0.01,0.059,0.001,0.004,-0.127,-0.047,-0.008,0.027,0.105
def2PT[4],0.008,0.066,0.001,0.005,-0.125,-0.034,0.008,0.051,0.139
def2PT[5],-0.007,0.063,0.001,0.004,-0.126,-0.051,-0.008,0.033,0.122
def2PT[6],0.006,0.061,0.001,0.004,-0.118,-0.032,0.007,0.045,0.124
def2PT[7],0.001,0.063,0.001,0.004,-0.12,-0.042,-0.001,0.043,0.126
def2PT[8],-0.013,0.063,0.001,0.005,-0.145,-0.052,-0.011,0.029,0.104
def2PT[9],0.024,0.06,0.001,0.004,-0.093,-0.014,0.023,0.06,0.15
def2PT[10],0.005,0.061,0.001,0.004,-0.11,-0.035,0.002,0.042,0.135
def2PT[11],0.007,0.064,0.001,0.005,-0.118,-0.035,0.007,0.047,0.141
def2PT[12],0.019,0.061,0.001,0.004,-0.1,-0.022,0.018,0.059,0.136
def2PT[13],-0.004,0.061,0.001,0.004,-0.13,-0.043,-0.003,0.034,0.113
def2PT[14],-0.001,0.064,0.001,0.004,-0.124,-0.045,-0.002,0.042,0.13
