,Mean,SD,Naive SE,Time-series SE,2.50%,25%,50%,75%,97.50%,,,,,,,,,,,
def2PT[12],0.0622,0.0190,0.0003,0.0004,0.0238,0.0495,0.0620,0.0753,0.0992,,,,,,,,,,,
def2PT[13],-0.0088,0.0190,0.0003,0.0004,-0.0462,-0.0213,-0.0089,0.0040,0.0286,,,,,,,,,,,
def2PT[14],-0.0086,0.0188,0.0003,0.0004,-0.0456,-0.0214,-0.0085,0.0041,0.0279,,,,,,,,,,,
def2PT[15],-0.0599,0.0184,0.0003,0.0004,-0.0950,-0.0727,-0.0597,-0.0475,-0.0242,,,,,,,,,,,
def2PT[16],-0.0730,0.0187,0.0003,0.0004,-0.1096,-0.0852,-0.0731,-0.0602,-0.0366,,,,,,,,,,,
def2PT[17],0.0241,0.0187,0.0003,0.0004,-0.0142,0.0120,0.0241,0.0364,0.0606,,,,,,,,,,,
def2PT[18],-0.0562,0.0199,0.0004,0.0005,-0.0953,-0.0699,-0.0560,-0.0431,-0.0170,,,,,,,,,,,
def2PT[19],-0.0879,0.0195,0.0004,0.0005,-0.1266,-0.1005,-0.0878,-0.0745,-0.0501,,,,,,,,,,,
def2PT[20],0.1096,0.0183,0.0003,0.0004,0.0734,0.0975,0.1095,0.1218,0.1464,,,,,,,,,,,
def2PT[21],0.0751,0.0189,0.0003,0.0005,0.0385,0.0622,0.0751,0.0876,0.1126,,,,,,,,,,,
def2PT[22],-0.0044,0.0189,0.0003,0.0004,-0.0416,-0.0170,-0.0046,0.0086,0.0322,,,,,,,,,,,
def2PT[23],-0.0263,0.0194,0.0004,0.0005,-0.0641,-0.0393,-0.0264,-0.0126,0.0107,,,,,,,,,,,
def2PT[24],0.0565,0.0188,0.0003,0.0004,0.0197,0.0435,0.0568,0.0693,0.0942,,,,,,,,,,,
def2PT[25],-0.0361,0.0191,0.0003,0.0004,-0.0741,-0.0489,-0.0365,-0.0232,0.0011,,,,,,,,,,,
def2PT[26],0.0673,0.0186,0.0003,0.0004,0.0301,0.0549,0.0675,0.0798,0.1027,,,,,,,,,,,
